File,Date ,Size,Type
 257JourneyDataExtract17Mar2021-23Mar2021.csv,"Apr 27th 2021, 11:27:18 am",21.99 MB,CSV file
 258JourneyDataExtract24Mar2021-30Mar2021.csv,"Apr 27th 2021, 11:27:18 am",25.65 MB,CSV file
 259JourneyDataExtract31Mar2021-06Apr2021.csv,"Apr 27th 2021, 11:27:18 am",30.10 MB,CSV file
 25JourneyDataExtract28Sep2016-04Oct2016.csv,"Oct 6th 2016, 10:08:12 am",27.34 MB,CSV file
 260JourneyDataExtract07Apr2021-13Apr2021.csv,"Apr 27th 2021, 11:27:18 am",23.76 MB,CSV file
 261JourneyDataExtract14Apr2021-20Apr2021.csv,"Apr 27th 2021, 11:27:18 am",28.76 MB,CSV file
 262JourneyDataExtract21Apr2021-27Apr2021.csv,"Aug 16th 2021, 03:14:42 pm",27.92 MB,CSV file
 263JourneyDataExtract28Apr2021-04May2021.csv,"Aug 16th 2021, 03:14:42 pm",22.83 MB,CSV file
 264JourneyDataExtract05May2021-11May2021.csv,"Aug 16th 2021, 03:14:42 pm",23.81 MB,CSV file
 265JourneyDataExtract12May2021-18May2021.csv,"Aug 16th 2021, 03:14:42 pm",22.39 MB,CSV file
 266JourneyDataExtract19May2021-25May2021.csv,"Aug 16th 2021, 03:14:42 pm",22.05 MB,CSV file
 267JourneyDataExtract26May2021-01Jun2021.csv,"Aug 16th 2021, 03:14:42 pm",36.68 MB,CSV file
 268JourneyDataExtract02Jun2021-08Jun2021.csv,"Aug 16th 2021, 03:14:42 pm",36.50 MB,CSV file
 269JourneyDataExtract09Jun2021-15Jun2021.csv,"Aug 16th 2021, 03:14:42 pm",39.78 MB,CSV file
 26JourneyDataExtract05Oct2016-11Oct2016.csv,"Oct 13th 2016, 10:35:30 am",27.34 MB,CSV file
 270JourneyDataExtract16Jun2021-22Jun2021.csv,"Aug 16th 2021, 03:14:42 pm",26.07 MB,CSV file
 271JourneyDataExtract23Jun2021-29Jun2021.csv,"Aug 16th 2021, 03:14:42 pm",32.09 MB,CSV file
 272JourneyDataExtract30Jun2021-06Jul2021.csv,"Aug 16th 2021, 03:14:42 pm",30.35 MB,CSV file
 273JourneyDataExtract07Jul2021-13Jul2021.csv,"Aug 16th 2021, 03:14:42 pm",32.02 MB,CSV file
 274JourneyDataExtract14Jul2021-20Jul2021.csv,"Aug 16th 2021, 03:14:42 pm",36.60 MB,CSV file
 275JourneyDataExtract21Jul2021-27Jul2021.csv,"Aug 16th 2021, 03:14:42 pm",32.09 MB,CSV file
 276JourneyDataExtract28Jul2021-03Aug2021.csv,"Aug 16th 2021, 03:14:42 pm",29.07 MB,CSV file
 277JourneyDataExtract04Aug2021-10Aug2021.csv,"Aug 16th 2021, 03:14:42 pm",26.62 MB,CSV file
 278JourneyDataExtract11Aug2021-17Aug2021.csv,"Sep 8th 2021, 02:20:59 pm",32.96 MB,CSV file
 279JourneyDataExtract18Aug2021-24Aug2021.csv,"Sep 8th 2021, 02:20:59 pm",31.29 MB,CSV file
 27JourneyDataExtract12Oct2016-18Oct2016.csv,"Nov 3rd 2016, 01:14:26 pm",24.27 MB,CSV file
 280JourneyDataExtract25Aug2021-31Aug2021.csv,"Sep 8th 2021, 02:20:59 pm",31.71 MB,CSV file
 281JourneyDataExtract01Sep2021-07Sep2021.csv,"Oct 6th 2021, 11:27:32 am",35.42 MB,CSV file
 282JourneyDataExtract08Sep2021-14Sep2021.csv,"Oct 6th 2021, 11:27:32 am",33.20 MB,CSV file
 283JourneyDataExtract15Sep2021-21Sep2021.csv,"Oct 6th 2021, 11:27:32 am",35.53 MB,CSV file
 284JourneyDataExtract22Sep2021-28Sep2021.csv,"Oct 6th 2021, 11:27:32 am",35.89 MB,CSV file
 285JourneyDataExtract29Sep2021-05Oct2021.csv,"Jan 11th 2022, 02:04:46 pm",27.51 MB,CSV file
 286JourneyDataExtract06Oct2021-12Oct2021.csv,"Jan 11th 2022, 02:04:46 pm",33.74 MB,CSV file
 287JourneyDataExtract13Oct2021-19Oct2021.csv,"Jan 11th 2022, 02:04:47 pm",31.24 MB,CSV file
 288JourneyDataExtract20Oct2021-26Oct2021.csv,"Jan 11th 2022, 02:04:46 pm",30.74 MB,CSV file
 289JourneyDataExtract27Oct2021-02Nov2021.csv,"Jan 11th 2022, 02:04:46 pm",29.53 MB,CSV file
 28JourneyDataExtract19Oct2016-25Oct2016.csv,"Nov 3rd 2016, 01:14:18 pm",25.57 MB,CSV file
 290JourneyDataExtract03Nov2021-09Nov2021.csv,"Jan 11th 2022, 02:04:46 pm",28.09 MB,CSV file
 291JourneyDataExtract10Nov2021-16Nov2021.csv,"Jan 11th 2022, 02:04:46 pm",27.42 MB,CSV file
 292JourneyDataExtract17Nov2021-23Nov2021.csv,"Jan 11th 2022, 02:04:46 pm",28.17 MB,CSV file
 293JourneyDataExtract24Nov2021-30Nov2021.csv,"Jan 11th 2022, 02:04:46 pm",23.37 MB,CSV file
 294JourneyDataExtract01Dec2021-07Dec2021.csv,"Jan 11th 2022, 02:04:46 pm",21.63 MB,CSV file
 295JourneyDataExtract08Dec2021-14Dec2021.csv,"Jan 11th 2022, 02:04:46 pm",22.33 MB,CSV file
 296JourneyDataExtract15Dec2021-21Dec2021.csv,"Jan 11th 2022, 02:04:46 pm",19.53 MB,CSV file
 297JourneyDataExtract22Dec2021-28Dec2021.csv,"Jan 11th 2022, 02:04:50 pm",10.93 MB,CSV file
 298JourneyDataExtract29Dec2021-04Jan2022.csv,"Jan 11th 2022, 02:04:48 pm",15.91 MB,CSV file
 29JourneyDataExtract26Oct2016-01Nov2016.csv,"Nov 15th 2016, 04:46:17 pm",26.86 MB,CSV file
 2a.JourneyDataExtract01Feb15-14Feb15.csv,"Aug 24th 2016, 03:13:03 pm",32.96 MB,CSV file
 2b.JourneyDataExtract15Feb15-28Feb15.csv,"Aug 24th 2016, 03:13:11 pm",32.81 MB,CSV file
 30JourneyDataExtract02Nov2016-08Nov2016.csv,"Nov 15th 2016, 04:46:11 pm",19.64 MB,CSV file
 31JourneyDataExtract09Nov2016-15Nov2016.csv,"Nov 24th 2016, 05:15:28 pm",18.80 MB,CSV file
 32JourneyDataExtract16Nov2016-22Nov2016.csv,"Nov 24th 2016, 05:15:21 pm",19.13 MB,CSV file
 33JourneyDataExtract23Nov2016-29Nov2016.csv,"Feb 2nd 2017, 05:11:16 pm",21.18 MB,CSV file
